Title,Authors,Publisher,PublishedDate,ISBN,PageCount,Categories,AverageRating,RatingsCount,Language,Language_en,Language_es,TitleWordCount
The Theory of H(b) Spaces: Volume 2,"Emmanuel Fricain, Javad Mashreghi",Cambridge University Press,2016-10-20,9781316351925.0,641.0,Mathematics,5.0,1.0,en,1.0,0.0,7
The Story of B,Daniel Quinn,Bantam,2010-01-13,9780307575234.0,350.0,Fiction,4.5,16.0,en,1.0,0.0,4
So B. It,Sarah Weeks,Zondervan,2009-10-20,9780061978777.0,276.0,Juvenile Fiction,2.0,3.0,en,1.0,0.0,3
"Ramble Book: Musings on Childhood, Friendship, Family and 80s Pop Culture",Adam Buxton,HarperCollins UK,2020-09-03,9780008293352.0,348.0,Biography & Autobiography,5.0,1.0,en,1.0,0.0,11
Jumping the Scratch,Sarah Weeks,Harper Collins,2009-10-20,9780061978791.0,196.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,3
"""B"" Is for Betsy",Carolyn Haywood,HarperCollins,2004-05-01,9780547671338.0,147.0,Juvenile Fiction,4.0,3.0,en,1.0,0.0,4
"Foundation:B-boys, B-girls and Hip-Hop Culture in New York",Joseph G. Schloss,"Oxford University Press, USA",2009-03-05,9780195334050.0,192.0,Performing Arts,5.0,1.0,en,1.0,0.0,8
Holy Bible (NIV),"Various Authors,",Zondervan,2008-09-02,9780310294146.0,6793.0,Bibles,5.0,2.0,en,1.0,0.0,3
Plan B,Pete Wilson,Grupo Nelson,2011-05-30,9781418584672.0,257.0,Religion,4.5,11.0,en,1.0,0.0,2
B is for Baller,James Littlejohn,Triumph Books,2018-10-02,9781641251068.0,34.0,Juvenile Nonfiction,5.0,1.0,en,1.0,0.0,4
Thinking in C++,Bruce Eckel,Pearson,2000-01-01,9780139798092.0,834.0,Computers,4.5,18.0,en,1.0,0.0,3
Originals,Adam Grant,Penguin,2017-02-07,9780143128854.0,353.0,Business & Economics,3.0,1.0,en,1.0,0.0,1
Lean In,Sheryl Sandberg,Knopf,2013-03-11,9780385349956.0,241.0,Biography & Autobiography,4.0,10.0,en,1.0,0.0,2
Soof,Sarah Weeks,Scholastic Inc.,2018-10-09,9780545846691.0,113.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,1
Apollo's Angels,Jennifer Homans,Random House,2010-11-02,9780679603900.0,640.0,Performing Arts,5.0,1.0,en,1.0,0.0,2
The Unspoken Name,A. K. Larkwood,Tor Books,2020-02-11,9781250238917.0,442.0,Fiction,5.0,1.0,en,1.0,0.0,3
Reluctant Capitalists,Laura J. Miller,University of Chicago Press,2008-09-15,9780226525921.0,328.0,Social Science,5.0,1.0,en,1.0,0.0,2
Stellaluna,Janell Cannon,Houghton Mifflin Harcourt,2007-01-01,9780152062873.0,44.0,Juvenile Nonfiction,4.5,4.0,en,1.0,0.0,1
Beastly: Lindy's Diary,Alex Flinn,Harper Collins,2012-01-31,9780062117427.0,341.0,Young Adult Fiction,5.0,1.0,en,1.0,0.0,3
Goodnight Moon,Margaret Wise Brown,HarperCollins,2016-11-08,9780062662897.0,34.0,Juvenile Fiction,3.5,2.0,en,1.0,0.0,2
The Sun Is Also a Star,Nicola Yoon,Penguin,2016-11-01,9780385683692.0,240.0,Young Adult Fiction,4.5,2.0,en,1.0,0.0,6
Alfred's Basic Adult Piano Course,"Willard A. Palmer, Morton Manus, Amanda Vick Lethco",Alfred Music Publishing,,9780739010037.0,100.0,Music,4.0,1.0,en,1.0,0.0,5
Big Red Barn Board Book,Margaret Wise Brown,Harper Collins,1995-01-06,9780694006243.0,33.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,5
The Invention of Hugo Cabret,Brian Selznick,Scholastic,2015-09-03,9781407166575.0,264.0,Juvenile Fiction,4.0,5.0,en,1.0,0.0,5
So B. It,Sarah Weeks,Harper Collins,2005-10-04,9780064410472.0,276.0,Juvenile Fiction,4.5,48.0,en,1.0,0.0,3
The Very Hungry Caterpillar,Eric Carle,Penguin,2016-11-22,9781524739553.0,30.0,Juvenile Fiction,4.0,3.0,en,1.0,0.0,4
Give and Take,Adam Grant,Penguin,2014-03-25,9780143124986.0,321.0,Business & Economics,5.0,1.0,en,1.0,0.0,3
The Plotters,Un-su Kim,Anchor,2019-01-29,9780385544399.0,270.0,Fiction,4.5,2.0,en,1.0,0.0,2
The Type,Sarah Kay,Hachette Books,2016-02-09,9780316386616.0,51.0,Poetry,5.0,1.0,en,1.0,0.0,2
The Well,Catherine Chanter,Canongate Books,2015-03-05,9781782114659.0,410.0,Fiction,5.0,1.0,en,1.0,0.0,2
Back to Blood,Tom Wolfe,"Little, Brown",2012-10-23,9780316214582.0,407.0,Fiction,2.5,4.0,en,1.0,0.0,3
Sundial,Catriona Ward,Tor Nightfire,2022-03-01,9781250812698.0,286.0,Fiction,4.0,1.0,en,1.0,0.0,1
The Doughnut Fix,Jessie Janowitz,"Sourcebooks, Inc.",2018-04-03,9781492655428.0,258.0,Juvenile Fiction,5.0,3.0,en,1.0,0.0,3
HT THINK LIKE A COMPUTER SCIEN,"Jeffrey Elkner, Allen B. Downey, Chris Meyers",Samurai Media Limited,2016-10-04,9789888406784.0,306.0,Computers,5.0,1.0,en,1.0,0.0,6
Birth of a Killer,Darren Shan,"Little, Brown Books for Young Readers",2010-10-05,9780316129145.0,129.0,Young Adult Fiction,3.5,13.0,en,1.0,0.0,4
The Story of B,Daniel Quinn,Bantam,1997-01-01,9780553379013.0,325.0,Fiction,4.0,1.0,en,1.0,0.0,4
Peace Process,William B. Quandt,Univ of California Press,2005-01-01,9780520246317.0,558.0,History,5.0,1.0,en,1.0,0.0,2
The Authorized Left Behind Handbook,"Tim LaHaye, Jerry B. Jenkins, Sandi Swanson","Tyndale House Publishers, Inc.",2005-01-01,9780842354400.0,350.0,Fiction,5.0,2.0,en,1.0,0.0,5
Plan B 2.0,Lester Russell Brown,W W Norton & Company Incorporated,2006-01-01,9780393328318.0,365.0,Science,3.0,1.0,en,1.0,0.0,3
Counseling Across Cultures,"Paul B. Pedersen, Walter J. Lonner, Juris G. Draguns, Joseph E. Trimble, Maria R. Scharron-del Rio",SAGE Publications,2015-01-14,9781483311104.0,585.0,Social Science,5.0,1.0,en,1.0,0.0,3
Nonviolent Communication: A Language of Life,"Marshall B. Rosenberg, Deepak Chopra",PuddleDancer Press,2015-09-01,9781892005540.0,233.0,Psychology,5.0,2.0,en,1.0,0.0,6
Junie B. Jones #4: Junie B. Jones and Some Sneaky Peeky Spying,Barbara Park,Random House Books for Young Readers,1994-05-24,9780679851011.0,84.0,Juvenile Fiction,4.5,6.0,en,1.0,0.0,12
ZOM-B,Darren Shan,Simon and Schuster,2012-09-27,9780857077554.0,174.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,1
P-40 Warhawk vs Ki-43 Oscar,Carl Molesworth,Bloomsbury Publishing,2012-11-20,9781782007463.0,82.0,History,5.0,2.0,en,1.0,0.0,5
P Is for Pterodactyl,"Raj Haldar, Chris Carpenter","Sourcebooks, Inc.",2018-11-13,9781492695332.0,35.0,Juvenile Nonfiction,4.0,1.0,en,1.0,0.0,4
Arsenic and Adobo,Mia P. Manansala,Penguin,2021-05-04,9780593201671.0,337.0,Fiction,5.0,1.0,en,1.0,0.0,3
Me and Mister P,Maria Farrer,Oxford University Press - Children,2017-01-05,9780192744227.0,227.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,4
J & P Transformer Book,Martin Heathcote,Elsevier,2011-04-01,9780080551784.0,989.0,Technology & Engineering,4.0,7.0,en,1.0,0.0,5
Revolutionary Suicide,Huey P. Newton,Penguin,2009-09-29,9781101140475.0,386.0,Biography & Autobiography,5.0,4.0,en,1.0,0.0,2
The Paperboy (Caldecott Honor Book),Dav Pilkey,Scholastic Inc.,2016-02-23,9780545356794.0,38.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,5
A Power Stronger Than Itself,George E. Lewis,University of Chicago Press,2008-09-15,9780226477039.0,726.0,Social Science,3.0,1.0,en,1.0,0.0,5
Tales of a Fourth Grade Nothing,Judy Blume,Penguin,2011-12-01,9781101564073.0,165.0,Juvenile Fiction,4.0,25.0,en,1.0,0.0,6
Voracious Science and Vulnerable Animals,John P. Gluck,University of Chicago Press,2016-10-26,9780226375656.0,350.0,Biography & Autobiography,5.0,1.0,en,1.0,0.0,5
A Master of Djinn,P. Djèlí Clark,Tordotcom,2021-05-11,9781250267672.0,370.0,Fiction,4.0,1.0,en,1.0,0.0,4
P’eng P’ai and the Hai-Lu-feng Soviet,Fernando Galbiati,Stanford University Press,1985-01-01,9780804712194.0,506.0,Political Science,5.0,1.0,en,1.0,0.0,6
Code of Ethics for Nurses with Interpretive Statements,American Nurses Association,Nursesbooks.org,2001-01-01,9781558101760.0,42.0,Business & Economics,5.0,1.0,en,1.0,0.0,8
Holy Bible (NIV),"Various Authors,",Zondervan,2008-09-02,9780310294146.0,6793.0,Bibles,5.0,2.0,en,1.0,0.0,3
Seize the Time,Bobby Seale,Black Classic Press,1991-01-01,9780933121300.0,452.0,Biography & Autobiography,4.5,2.0,en,1.0,0.0,3
Why Men Love Bitches,Sherry Argov,Simon and Schuster,2002-01-01,9781580627566.0,288.0,Family & Relationships,2.0,3.0,en,1.0,0.0,4
Art Sex Music,Cosey Fanni Tutti,Faber & Faber,2017-04-04,9780571328543.0,558.0,Biography & Autobiography,1.0,1.0,en,1.0,0.0,3
Convex Optimization,"Stephen P. Boyd, Lieven Vandenberghe",Cambridge University Press,2004-03-08,9780521833783.0,744.0,Business & Economics,4.5,7.0,en,1.0,0.0,2
The Cult of Statistical Significance,"Stephen Thomas Ziliak, Deirdre Nansen McCloskey",University of Michigan Press,2008-02-19,9780472050079.0,349.0,Business & Economics,3.5,2.0,en,1.0,0.0,5
Wired for War,P. W. Singer,Penguin,2009-01-22,9781440685972.0,536.0,Technology & Engineering,4.5,2.0,en,1.0,0.0,3
If You Give a Mouse a Cookie 25th Anniversary Edition,Laura Joffe Numeroff,Harper Collins,1985-05-09,9780060245863.0,46.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,10
Coronavirus: A Book for Children,"Kate Wilson, Elizabeth Jenner, Nia Roberts",Nosy Crow,2020-04-07,9781839941467.0,29.0,Juvenile Nonfiction,4.0,9.0,en,1.0,0.0,5
Paradise Lost,Kate Brian,Simon and Schuster,2009-02-24,9781439156667.0,257.0,Young Adult Fiction,4.5,6.0,en,1.0,0.0,2
Pete the Cat and the Perfect Pizza Party,"James Dean, Kimberly Dean",HarperCollins,2019-09-03,9780062404381.0,42.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,8
The End of White Christian America,Robert P. Jones,Simon and Schuster,2016-07-12,9781501122293.0,320.0,History,3.0,1.0,en,1.0,0.0,6
A Painted House,John Grisham,Dell Books,2002-01-01,9780440237228.0,480.0,Fiction,4.0,2.0,en,1.0,0.0,3
Research Design,"John W. Creswell, J. David Creswell",SAGE Publications,2017-12-12,9781506386690.0,284.0,Social Science,5.0,1.0,en,1.0,0.0,2
Economics: European Edition,"Paul Krugman, Robin Wells, Kathryn Graddy",Macmillan,2007-04-06,9780716799566.0,1044.0,Business & Economics,4.0,1.0,en,1.0,0.0,3
The Painted Girls,Cathy Marie Buchanan,Penguin,2013-01-10,9781101603796.0,343.0,Fiction,3.0,1.0,en,1.0,0.0,3
The Dog Stars,Peter Heller,Vintage,2013-05-07,9780307950475.0,337.0,Fiction,4.0,1.0,en,1.0,0.0,3
Captain Awesome to the Rescue!,Stan Kirby,Simon and Schuster,2012-04-03,9781442435629.0,128.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,5
Pardonable Lies,Jacqueline Winspear,Henry Holt and Company,2007-04-01,9781429900997.0,388.0,Fiction,5.0,1.0,en,1.0,0.0,2
Tacky the Penguin,Helen Lester,Houghton Mifflin Harcourt,2010-12-06,9780547347424.0,36.0,Juvenile Fiction,5.0,2.0,en,1.0,0.0,3
"""A"" is for Alibi",Sue Grafton,Holt Paperbacks,2010-04-01,9781429901345.0,320.0,Fiction,3.5,10.0,en,1.0,0.0,4
The Dog Stars,Peter Heller,Vintage,2013-05-07,9780307950475.0,337.0,Fiction,4.0,1.0,en,1.0,0.0,3
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,W. W. Norton & Company,2018-02-06,9780393355680.0,429.0,Biography & Autobiography,5.0,1.0,en,1.0,0.0,10
Harry Potter and the Cursed Child: The Official Script Book of the Original West,"J-K Rowling, Jack Thorne, John Tiffany",Harry Potter (Hardcover),2016-08-22,9780606384964.0,320.0,Juvenile Nonfiction,3.5,3.0,en,1.0,0.0,14
The White Card,Claudia Rankine,Graywolf Press,2019-03-19,9781555978860.0,90.0,Drama,5.0,1.0,en,1.0,0.0,3
The Mission of Addition,Brian P. Cleary,Millbrook Press,2005-08-01,9780822563518.0,36.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,4
The Mythical Man-Month,Frederick P. Brooks Jr.,Pearson Education,1995-08-02,9780132119160.0,348.0,Computers,4.5,6.0,en,1.0,0.0,3
The Mythical Man-Month,Frederick P. Brooks Jr.,Pearson Education,1995-08-02,9780132119160.0,348.0,Computers,4.5,6.0,en,1.0,0.0,3
Design of Steel Structures,P Dayaratnam,S. Chand Publishing,2008-01-01,9788121923200.0,884.0,Technology & Engineering,5.0,1.0,en,1.0,0.0,4
"Statistics and Probability with Applications for Engineers and Scientists Using MINITAB, R and JMP","Bhisham C. Gupta, Irwin Guttman, Kalanka P. Jayalath",John Wiley & Sons,2019-12-24,9781119516644.0,1040.0,Mathematics,4.0,1.0,en,1.0,0.0,14
Productivity and Reliability-Based Maintenance Management,Matthew P. Stephens,Purdue University Press,2010-01-01,9781557535924.0,338.0,Business & Economics,4.0,1.0,en,1.0,0.0,5
Physical Activity and Health of Hong Kong Youth,"David P. Johns, Koenraad J. Lindner",Chinese University Press,2006-01-01,9789629962388.0,264.0,Exercise for youth,2.0,1.0,en,1.0,0.0,8
Thirteen Virtues to a New Life,Ralph P. Brown (Tawennihake),Booksurge Publishing,2009-12-21,9781439244821.0,122.0,Self-Help,4.0,1.0,en,1.0,0.0,6
Skin Troubles Cured by Homeopathy,P. Sivaraman,B. Jain Publishers,2001-01-01,9788170214076.0,424.0,Health & Fitness,2.0,2.0,en,1.0,0.0,5
R for Data Science,"Hadley Wickham, Garrett Grolemund","""O'Reilly Media, Inc.""",2016-12-12,9781491910368.0,521.0,Computers,5.0,1.0,en,1.0,0.0,4
The R Book,Michael J. Crawley,John Wiley & Sons,2007-06-13,9780470515068.0,953.0,Mathematics,4.0,3.0,en,1.0,0.0,3
The Book of R,Tilman M. Davies,No Starch Press,2016-07-16,9781593276515.0,833.0,Computers,1.0,1.0,en,1.0,0.0,4
Data Manipulation with R,Phil Spector,Springer Science & Business Media,2008-03-19,9780387747309.0,158.0,Computers,3.0,1.0,en,1.0,0.0,4
A Beginner's Guide to R,"Alain Zuur, Elena N. Ieno, Erik Meesters",Springer Science & Business Media,2009-06-24,9780387938370.0,228.0,Computers,4.0,1.0,en,1.0,0.0,5
Hands-On Programming with R,Garrett Grolemund,"""O'Reilly Media, Inc.""",2014-06-13,9781449359102.0,408.0,Computers,5.0,1.0,en,1.0,0.0,4
Discovering Statistics Using R,"Andy Field, Jeremy Miles, Zoë Field",SAGE,2012-03-07,9781446289150.0,994.0,Reference,5.0,1.0,en,1.0,0.0,4
R Graphics Cookbook,Winston Chang,"""O'Reilly Media, Inc.""",2013-01-01,9781449316952.0,414.0,Computers,5.0,1.0,en,1.0,0.0,3
Javascript for R,John Coene,CRC Press,2021-07-15,9781000408171.0,316.0,Business & Economics,5.0,1.0,en,1.0,0.0,3
Javascript for R,John Coene,CRC Press,2021-07-15,9781000408171.0,316.0,Business & Economics,5.0,1.0,en,1.0,0.0,3
Nona the Ninth,Tamsyn Muir,Tordotcom,2022-09-13,9781250854124.0,406.0,Fiction,4.0,1.0,en,1.0,0.0,3
The Art of R Programming,Norman Matloff,No Starch Press,2011-10-11,9781593273842.0,404.0,Computers,2.0,2.0,en,1.0,0.0,5
Applied Econometrics with R,"Christian Kleiber, Achim Zeileis",Springer Science & Business Media,2008-12-10,9780387773186.0,229.0,Business & Economics,5.0,1.0,en,1.0,0.0,4
R Cookbook,Paul Teetor,"""O'Reilly Media, Inc.""",2011-03-03,9781449307264.0,438.0,Computers,4.5,3.0,en,1.0,0.0,2
R For Dummies,"Andrie de Vries, Joris Meys",John Wiley & Sons,2015-07-07,9781119055808.0,435.0,Computers,5.0,1.0,en,1.0,0.0,3
Linear Mixed-Effects Models Using R,"Andrzej Gałecki, Tomasz Burzykowski",Springer Science & Business Media,2013-02-05,9781461439004.0,558.0,Mathematics,5.0,1.0,en,1.0,0.0,5
Forecasting: principles and practice,"Rob J Hyndman, George Athanasopoulos",OTexts,2018-05-08,9780987507112.0,380.0,Business & Economics,5.0,2.0,en,1.0,0.0,4
Latent Variable Modeling with R,"W. Holmes Finch, Brian F. French",Routledge,2015-06-26,9781317970767.0,341.0,Psychology,4.0,2.0,en,1.0,0.0,5
If a Stranger Approaches You,Laura Kasischke,Sarabande Books,2013-03-05,9781936747511.0,162.0,Fiction,5.0,1.0,en,1.0,0.0,5
Statistics,Michael J. Crawley,John Wiley & Sons,2005-05-06,9780470022986.0,348.0,Mathematics,4.0,3.0,en,1.0,0.0,1
Introductory Time Series with R,"Paul S.P. Cowpertwait, Andrew V. Metcalfe",Springer Science & Business Media,2009-05-28,9780387886985.0,262.0,Mathematics,3.0,2.0,en,1.0,0.0,5
Applied Predictive Modeling,"Max Kuhn, Kjell Johnson",Springer Science & Business Media,2013-05-17,9781461468493.0,595.0,Medical,5.0,1.0,en,1.0,0.0,3
A Game of Thrones,George R. R. Martin,Bantam,2003-01-01,9780553897845.0,835.0,Fiction,4.0,157.0,en,1.0,0.0,4
Econometrics,Fumio Hayashi,Princeton University Press,2011-12-12,9781400823833.0,708.0,Business & Economics,5.0,1.0,en,1.0,0.0,1
Sleep Disorders and Sleep Deprivation,"Institute of Medicine, Board on Health Sciences Policy, Committee on Sleep Medicine and Research",National Academies Press,2006-10-13,9780309101110.0,425.0,Medical,5.0,1.0,en,1.0,0.0,5
The Road,Cormac McCarthy,Vintage Books,2007-01-01,9780307386458.0,297.0,Fiction,3.5,8.0,en,1.0,0.0,2
"Concepts, Techniques, and Models of Computer Programming","Peter Van Roy, Seif Haridi",MIT Press,2004-02-20,9780262220699.0,944.0,Computers,3.0,5.0,en,1.0,0.0,7
Blood of Elves,Andrzej Sapkowski,Orbit,2009-05-01,9780316073714.0,333.0,Fiction,4.0,10.0,en,1.0,0.0,3
Economics: European Edition,"Paul Krugman, Robin Wells, Kathryn Graddy",Macmillan,2007-04-06,9780716799566.0,1044.0,Business & Economics,4.0,1.0,en,1.0,0.0,3
Programming with Data,John M. Chambers,Springer Science & Business Media,1998-06-19,9780387985039.0,494.0,Computers,3.0,1.0,en,1.0,0.0,3
Hero,Perry Moore,Random House,2008-01-01,9780552555869.0,434.0,Family secrets,5.0,2.0,en,1.0,0.0,1
"Python Crash Course, 2nd Edition",Eric Matthes,No Starch Press,2019-05-03,9781593279288.0,546.0,Computers,5.0,1.0,en,1.0,0.0,5
R in Action,Robert Kabacoff,Manning Publications,2011-01-01,9781935182399.0,447.0,Computers,5.0,1.0,en,1.0,0.0,3
The Elements of Statistical Learning,"Trevor Hastie, Robert Tibshirani, Jerome Friedman",Springer Science & Business Media,2013-11-11,9780387216065.0,545.0,Mathematics,4.0,1.0,en,1.0,0.0,5
Heart's Blood,Juliet Marillier,Penguin,2009-11-03,9781101149249.0,381.0,Fiction,4.5,2.0,en,1.0,0.0,2
Falling for Rapunzel,Leah Wilcox,Puffin,,9780141500799.0,32.0,Children's stories,5.0,1.0,en,1.0,0.0,3
The Basics of Item Response Theory Using R,"Frank B. Baker, Seock-Ho Kim",Springer,2017-04-25,9783319542058.0,177.0,Social Science,4.0,1.0,en,1.0,0.0,8
A Crown of Swords,Robert Jordan,Orbit Books,1996-01-01,9781857233667.0,658.0,Fantasy fiction,5.0,1.0,en,1.0,0.0,4
Agendas and Instability in American Politics,"Frank R. Baumgartner, Bryan D. Jones",University of Chicago Press,,9780226039398.0,316.0,Political Science,3.0,2.0,en,1.0,0.0,6
Exploring Leadership,"Susan R. Komives, Nance Lucas, Timothy R. McMahon",John Wiley & Sons,2013-05-17,9781118417485.0,610.0,Education,4.0,2.0,en,1.0,0.0,2
Financial Analytics with R,"Mark J. Bennett, Dirk L. Hugen",Cambridge University Press,2016-10-06,9781316776759.0,397.0,Business & Economics,5.0,1.0,en,1.0,0.0,4
Quantifying the User Experience,"Jeff Sauro, James R Lewis",Elsevier,2012-03-16,9780123849687.0,313.0,Business & Economics,5.0,1.0,en,1.0,0.0,4
Financial Valuation,James R. Hitchner,John Wiley & Sons,2006-09-30,9780470046210.0,1370.0,Business & Economics,5.0,2.0,en,1.0,0.0,2
Jews and Power,Ruth R. Wisse,Schocken,2008-12-24,9780307533135.0,258.0,Religion,5.0,1.0,en,1.0,0.0,3
Jews and Power,Ruth R. Wisse,Schocken,2008-12-24,9780307533135.0,258.0,Religion,5.0,1.0,en,1.0,0.0,3
Architects of the Holocaust,Darlene R. Stille,Capstone,2011-01-01,9780756544416.0,34.0,History,5.0,1.0,en,1.0,0.0,4
Mail Call,R. Lee Ermey,Hyperion,2005-01-12,9781401307790.0,260.0,History,3.0,1.0,en,1.0,0.0,2
Mail Call,R. Lee Ermey,Hyperion,2005-01-12,9781401307790.0,260.0,History,3.0,1.0,en,1.0,0.0,2
Detective Fiction and the Rise of Forensic Science,Ronald R. Thomas,Cambridge University Press,1999-01-01,9780521527620.0,368.0,Law,5.0,1.0,en,1.0,0.0,8
The Theory of H(b) Spaces: Volume 2,"Emmanuel Fricain, Javad Mashreghi",Cambridge University Press,2016-10-20,9781316351925.0,641.0,Mathematics,5.0,1.0,en,1.0,0.0,7
Selected Works of Merton H. Miller,Merton H. Miller,University of Chicago Press,,9780226527475.0,467.0,Business & Economics,3.5,3.0,en,1.0,0.0,6
Humble Inquiry,Edgar H. Schein,Berrett-Koehler Publishers,2013-09-02,9781609949839.0,132.0,Business & Economics,4.0,1.0,en,1.0,0.0,2
Heist Society,Ally Carter,"Little, Brown Books for Young Readers",2010-02-09,9781423139386.0,269.0,Young Adult Fiction,4.5,6.0,en,1.0,0.0,2
H Is for Hawk,Helen Macdonald,"Grove/Atlantic, Inc.",2015-03-03,9780802191670.0,262.0,Biography & Autobiography,2.0,1.0,en,1.0,0.0,4
A Whole New Mind,Daniel H. Pink,Penguin,2006-03-07,9781101157909.0,305.0,Psychology,3.0,4.0,en,1.0,0.0,4
Drive,Daniel H. Pink,Penguin,2011-04-05,9781101524381.0,275.0,Business & Economics,4.5,12.0,en,1.0,0.0,1
All About H. Hatterr,G V Desani,New York Review of Books,2007-11-06,9781590172421.0,324.0,Fiction,2.0,1.0,en,1.0,0.0,4
R for Data Science,"Hadley Wickham, Garrett Grolemund","""O'Reilly Media, Inc.""",2016-12-12,9781491910368.0,521.0,Computers,5.0,1.0,en,1.0,0.0,4
Using Language,Herbert H. Clark,Cambridge University Press,1996-05-16,9780521567459.0,452.0,Language Arts & Disciplines,4.0,2.0,en,1.0,0.0,2
The Everyday Language of White Racism,Jane H. Hill,John Wiley & Sons,2009-01-30,9781444304749.0,240.0,Social Science,3.0,2.0,en,1.0,0.0,6
A Little Life,Hanya Yanagihara,Vintage,2016-01-26,9780804172707.0,833.0,Fiction,2.0,1.0,en,1.0,0.0,3
Sounder,William H. Armstrong,Harper Collins,2011-07-12,9780062105561.0,132.0,Juvenile Fiction,5.0,2.0,en,1.0,0.0,1
Make Your Bed,Admiral William H. McRaven,Grand Central Publishing,2017-04-04,9781455570232.0,144.0,Self-Help,4.0,1.0,en,1.0,0.0,3
The Little Red Hen,Paul Galdone,Houghton Mifflin Harcourt,1985-03-18,9780547346076.0,48.0,Juvenile Fiction,3.5,8.0,en,1.0,0.0,4
Make Your Bed,Admiral William H. McRaven,Grand Central Publishing,2017-04-04,9781455570232.0,144.0,Self-Help,4.0,1.0,en,1.0,0.0,3
Operating Systems,"Remzi H. Arpaci-Dusseau, Andrea C. Arpaci-Dusseau",Createspace Independent Publishing Platform,,9781985086593.0,714.0,Operating systems (Computers),5.0,1.0,en,1.0,0.0,2
A Primer of Ecclesiastical Latin,John F. Collins,CUA Press,1988-01-01,9780813206677.0,476.0,Foreign Language Study,4.5,2.0,en,1.0,0.0,5
Keeping the City Going,Brian Floca,Simon and Schuster,2021-04-27,9781534493780.0,36.0,Juvenile Nonfiction,4.0,1.0,en,1.0,0.0,4
The 100,Michael H. Hart,Citadel Press,1978-01-01,9780806513508.0,600.0,Biography & Autobiography,4.5,17.0,en,1.0,0.0,2
The Napping House,Audrey Wood,Houghton Mifflin Harcourt,2005-01-01,9780152056209.0,68.0,Juvenile Fiction,4.0,1.0,en,1.0,0.0,3
The Red Winter,Henry H. Neff,Random House Books for Young Readers,2014-11-25,9780375971402.0,655.0,Juvenile Fiction,5.0,2.0,en,1.0,0.0,3
The Strange Adventures of H,Sarah Burton,Legend Press Ltd,2020-05-01,9781789551273.0,272.0,Fiction,5.0,1.0,en,1.0,0.0,5
Curious George Race Day (CGTV Reader),H. A. Rey,Houghton Mifflin Harcourt,2010-09-06,9780547505749.0,27.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,6
The Big Honey Hunt,"Stan Berenstain, Jan Berenstain",Random House Books for Young Readers,2011-02-09,9780375983153.0,73.0,Juvenile Fiction,4.5,2.0,en,1.0,0.0,4
The Hakawati,Rabih Alameddine,Anchor,2008-04-15,9780307269270.0,528.0,Fiction,5.0,1.0,en,1.0,0.0,2
Alpha Oops!,Alethea Kontis,Candlewick Press,2006-01-01,9780763627287.0,48.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,2
Decisive,"Chip Heath, Dan Heath",Random House Canada,2013-03-26,9780307361141.0,326.0,Self-Help,5.0,1.0,en,1.0,0.0,1
It's Not the Stork!,Robie H. Harris,Candlewick Press,2011-08-09,9780763658632.0,63.0,Juvenile Nonfiction,3.0,2.0,en,1.0,0.0,4
Half a Life,V. S. Naipaul,Vintage,2009-04-23,9780307556561.0,231.0,Fiction,1.0,1.0,en,1.0,0.0,3
Harold and the Purple Crayon,Crockett Johnson,HarperCollins,2015-09-29,9780062430403.0,69.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,5
Half the Sky,"Nicholas D. Kristof, Sheryl WuDunn",Vintage,2010-06-01,9780307387097.0,322.0,Political Science,3.5,4.0,en,1.0,0.0,3
Kingdom of the Wicked,Kerri Maniscalco,"Little, Brown Books for Young Readers",2020-10-27,9780316428446.0,353.0,Young Adult Fiction,5.0,2.0,en,1.0,0.0,4
The Whole Business with Kiffo and the Pitbull,Barry Jonsberg,Allen & Unwin,2004-01-01,9781741141122.0,268.0,Young Adult Fiction,2.0,3.0,en,1.0,0.0,8
Mastery,Robert Greene,Penguin,2012-11-13,9781101601020.0,354.0,Self-Help,5.0,1.0,en,1.0,0.0,1
A Bad Boy Can Be Good for a Girl,Tanya Lee Stone,Wendy Lamb Books,2007-12-18,9780307433053.0,242.0,Young Adult Fiction,5.0,2.0,en,1.0,0.0,9
Vocabulary Workshop,Jerome Shostak,Ticknor & Fields,,9780821506097.0,148.0,Language Arts & Disciplines,3.0,2.0,en,1.0,0.0,2
LaRose,Louise Erdrich,HarperCollins,2016-05-10,9780062277046.0,311.0,Fiction,4.0,1.0,en,1.0,0.0,1
Have His Carcase,Dorothy L. Sayers,Open Road Media,2012-07-31,9781453258910.0,666.0,Fiction,4.5,2.0,en,1.0,0.0,3
